gameweek,kickoff_date,fixture_id,completed,team,opponent,home,team_xG,team_xGA,proj_score,opponent_proj_score,avg_team_xG,avg_team_xGA
1,2021-08-13,1,1,Arsenal,Brentford,0,1.21,1.41,1.61,0.96,,
1,2021-08-13,1,1,Brentford,Arsenal,1,1.41,1.21,0.96,1.61,,
1,2021-08-14,2,1,Brighton,Burnley,0,1.77,1.95,1.31,1.19,,
1,2021-08-14,2,1,Burnley,Brighton,1,1.95,1.77,1.19,1.31,,
1,2021-08-14,3,1,Chelsea,Crystal Palace,1,1.08,0.36,2.23,0.55,,
1,2021-08-14,3,1,Crystal Palace,Chelsea,0,0.36,1.08,0.55,2.23,,
1,2021-08-14,4,1,Everton,Southampton,1,2.38,0.62,1.56,1.08,,
1,2021-08-14,4,1,Southampton,Everton,0,0.62,2.38,1.08,1.56,,
1,2021-08-14,5,1,Leicester,Wolves,1,0.65,1.31,1.65,0.95,,
1,2021-08-14,5,1,Wolves,Leicester,0,1.31,0.65,0.95,1.65,,
1,2021-08-14,6,1,Leeds,Man Utd,0,0.66,1.42,0.94,2.06,,
1,2021-08-14,6,1,Man Utd,Leeds,1,1.42,0.66,2.06,0.94,,
1,2021-08-14,7,1,Liverpool,Norwich,0,2.06,1.15,2.2,0.84,,
1,2021-08-14,7,1,Norwich,Liverpool,1,1.15,2.06,0.84,2.2,,
1,2021-08-14,8,1,Aston Villa,Watford,0,1.21,1.17,1.45,1.19,,
1,2021-08-14,8,1,Watford,Aston Villa,1,1.17,1.21,1.19,1.45,,
1,2021-08-15,9,1,Newcastle,West Ham,1,1.71,3.53,1.41,1.5,,
1,2021-08-15,9,1,West Ham,Newcastle,0,3.53,1.71,1.5,1.41,,
1,2021-08-15,10,1,Man City,Spurs,0,2.16,1.22,2.01,1.21,,
1,2021-08-15,10,1,Spurs,Man City,1,1.22,2.16,1.21,2.01,,
2,2021-08-21,11,1,Aston Villa,Newcastle,1,1.31,0.77,1.75,1.24,1.21,1.17
2,2021-08-21,11,1,Newcastle,Aston Villa,0,0.77,1.31,1.24,1.75,1.71,3.53
2,2021-08-21,12,1,Brighton,Watford,1,1.68,0.48,1.59,0.84,1.77,1.95
2,2021-08-21,12,1,Watford,Brighton,0,0.48,1.68,0.84,1.59,1.17,1.21
2,2021-08-21,13,1,Brentford,Crystal Palace,0,0.85,0.6,1.12,1.33,1.41,1.21
2,2021-08-21,13,1,Crystal Palace,Brentford,1,0.6,0.85,1.33,1.12,0.36,1.08
2,2021-08-21,14,1,Everton,Leeds,0,1.94,1.15,1.3,1.45,2.38,0.62
2,2021-08-21,14,1,Leeds,Everton,1,1.15,1.94,1.45,1.3,0.66,1.42
2,2021-08-21,15,1,Burnley,Liverpool,0,0.79,3.1,0.69,2.48,1.95,1.77
2,2021-08-21,15,1,Liverpool,Burnley,1,3.1,0.79,2.48,0.69,2.06,1.15
2,2021-08-21,16,1,Man City,Norwich,1,2.37,0.03,2.59,0.46,2.16,1.22
2,2021-08-21,16,1,Norwich,Man City,0,0.03,2.37,0.46,2.59,1.15,2.06
2,2021-08-22,17,1,Spurs,Wolves,0,1.78,1.68,1.55,1.19,1.22,2.16
2,2021-08-22,17,1,Wolves,Spurs,1,1.68,1.78,1.19,1.55,1.31,0.65
2,2021-08-22,18,1,Arsenal,Chelsea,1,0.63,3.3,1.1,1.45,1.21,1.41
2,2021-08-22,18,1,Chelsea,Arsenal,0,3.3,0.63,1.45,1.1,1.08,0.36
2,2021-08-22,19,1,Man Utd,Southampton,0,2.21,0.69,2.01,1.02,1.42,0.66
2,2021-08-22,19,1,Southampton,Man Utd,1,0.69,2.21,1.02,2.01,0.62,2.38
2,2021-08-23,20,1,Leicester,West Ham,0,0.83,2.48,1.43,1.53,0.65,1.31
2,2021-08-23,20,1,West Ham,Leicester,1,2.48,0.83,1.53,1.43,3.53,1.71
3,2021-08-28,21,1,Aston Villa,Brentford,1,0.47,1.01,1.59,0.99,1.225,1.05
3,2021-08-28,21,1,Brentford,Aston Villa,0,1.01,0.47,0.99,1.59,1.326,1.027
3,2021-08-28,22,1,Brighton,Everton,1,0.79,1.41,1.37,1.1,1.756,1.509
3,2021-08-28,22,1,Everton,Brighton,0,1.41,0.79,1.1,1.37,2.314,0.779
3,2021-08-28,23,1,Chelsea,Liverpool,0,0.65,2.75,1.31,1.5,1.413,0.441
3,2021-08-28,23,1,Liverpool,Chelsea,1,2.75,0.65,1.5,1.31,2.216,1.042
3,2021-08-28,24,1,Arsenal,Man City,0,0.17,4.02,0.74,2.13,1.123,1.977
3,2021-08-28,24,1,Man City,Arsenal,1,4.02,0.17,2.13,0.74,2.192,0.863
3,2021-08-28,25,1,Newcastle,Southampton,1,1.21,3.62,1.53,1.31,1.569,2.864
3,2021-08-28,25,1,Southampton,Newcastle,0,3.62,1.21,1.31,1.53,0.631,2.329
3,2021-08-28,26,1,Leicester,Norwich,0,1.39,1.61,1.55,1.08,0.677,1.661
